icd_code,long_title
2273,Benign neoplasm of pituitary gland and craniopharyngeal duct
2409,"Goiter, unspecified"
2410,Nontoxic uninodular goiter
2411,Nontoxic multinodular goiter
24200,Toxic diffuse goiter without mention of thyrotoxic crisis or storm
24210,Toxic uninodular goiter without mention of thyrotoxic crisis or storm
24220,Toxic multinodular goiter without mention of thyrotoxic crisis or storm
2440,Postsurgical hypothyroidism
2441,Other postablative hypothyroidism
2443,Other iatrogenic hypothyroidism
2448,Other specified acquired hypothyroidism
2449,Unspecified acquired hypothyroidism
2452,Chronic lymphocytic thyroiditis
2469,Unspecified disorder of thyroid
25000,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
25001,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled"
25002,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
25003,"Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled"
25011,"Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled"
25012,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled"
25013,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled"
25022,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled"
25040,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
25041,"Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled"
25042,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled"
25043,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled"
25050,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
25051,"Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled"
25052,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled"
25053,"Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled"
25060,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
25061,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled"
25062,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled"
25063,"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled"
