ICD_CODE,DESCRIPTION
0210083,"Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Open Approach"
0210088,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Zooplastic Tissue, Open Approach"
0210089,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Zooplastic Tissue, Open Approach"
021008C,"Bypass Coronary Artery, One Artery from Thoracic Artery with Zooplastic Tissue, Open Approach"
021008F,"Bypass Coronary Artery, One Artery from Abdominal Artery with Zooplastic Tissue, Open Approach"
021008W,"Bypass Coronary Artery, One Artery from Aorta with Zooplastic Tissue, Open Approach"
0210093,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Venous Tissue, Open Approach"
0210098,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Venous Tissue, Open Approach"
0210099,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Venous Tissue, Open Approach"
021009C,"Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Venous Tissue, Open Approach"
021009F,"Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Venous Tissue, Open Approach"
021009W,"Bypass Coronary Artery, One Artery from Aorta with Autologous Venous Tissue, Open Approach"
02100A3,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Arterial Tissue, Open Approach"
02100A8,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Arterial Tissue, Open Approach"
02100A9,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Arterial Tissue, Open Approach"
02100AC,"Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Arterial Tissue, Open Approach"
02100AF,"Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Arterial Tissue, Open Approach"
02100AW,"Bypass Coronary Artery, One Artery from Aorta with Autologous Arterial Tissue, Open Approach"
02100J3,"Bypass Coronary Artery, One Artery from Coronary Artery with Synthetic Substitute, Open Approach"
02100J8,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Synthetic Substitute, Open Approach"
02100J9,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Synthetic Substitute, Open Approach"
02100JC,"Bypass Coronary Artery, One Artery from Thoracic Artery with Synthetic Substitute, Open Approach"
02100JF,"Bypass Coronary Artery, One Artery from Abdominal Artery with Synthetic Substitute, Open Approach"
02100JW,"Bypass Coronary Artery, One Artery from Aorta with Synthetic Substitute, Open Approach"
02100K3,"Bypass Coronary Artery, One Artery from Coronary Artery with Nonautologous Tissue Substitute, Open Approach"
02100K8,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach"
02100K9,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach"
02100KC,"Bypass Coronary Artery, One Artery from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach"
02100KF,"Bypass Coronary Artery, One Artery from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach"
02100KW,"Bypass Coronary Artery, One Artery from Aorta with Nonautologous Tissue Substitute, Open Approach"
02100Z3,"Bypass Coronary Artery, One Artery from Coronary Artery, Open Approach"
02100Z8,"Bypass Coronary Artery, One Artery from Right Internal Mammary, Open Approach"
02100Z9,"Bypass Coronary Artery, One Artery from Left Internal Mammary, Open Approach"
02100ZC,"Bypass Coronary Artery, One Artery from Thoracic Artery, Open Approach"
02100ZF,"Bypass Coronary Artery, One Artery from Abdominal Artery, Open Approach"
0210344,"Bypass Coronary Artery, One Artery from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach"
02103D4,"Bypass Coronary Artery, One Artery from Coronary Vein with Intraluminal Device, Percutaneous Approach"
0210444,"Bypass Coronary Artery, One Artery from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach"
0210483,"Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
0210488,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach"
0210489,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021048C,"Bypass Coronary Artery, One Artery from Thoracic Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021048F,"Bypass Coronary Artery, One Artery from Abdominal Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach"
021048W,"Bypass Coronary Artery, One Artery from Aorta with Zooplastic Tissue, Percutaneous Endoscopic Approach"
0210493,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
0210498,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
0210499,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021049C,"Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021049F,"Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
021049W,"Bypass Coronary Artery, One Artery from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
02104A3,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
02104A8,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
02104A9,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
02104AC,"Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
02104AF,"Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
02104AW,"Bypass Coronary Artery, One Artery from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach"
02104D4,"Bypass Coronary Artery, One Artery from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach"
02104J3,"Bypass Coronary Artery, One Artery from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
02104J8,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach"
02104J9,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach"
02104JC,"Bypass Coronary Artery, One Artery from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
02104JF,"Bypass Coronary Artery, One Artery from Abdominal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
02104JW,"Bypass Coronary Artery, One Artery from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach"
02104K3,"Bypass Coronary Artery, One Artery from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
02104K8,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
02104K9,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
02104KC,"Bypass Coronary Artery, One Artery from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
02104KF,"Bypass Coronary Artery, One Artery from Abdominal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
02104KW,"Bypass Coronary Artery, One Artery from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
02104Z3,"Bypass Coronary Artery, One Artery from Coronary Artery, Percutaneous Endoscopic Approach"
02104Z8,"Bypass Coronary Artery, One Artery from Right Internal Mammary, Percutaneous Endoscopic Approach"
02104Z9,"Bypass Coronary Artery, One Artery from Left Internal Mammary, Percutaneous Endoscopic Approach"
