ICD_CODE,DESCRIPTION
41400,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
41401,Coronary atherosclerosis of native coronary artery
41402,Coronary atherosclerosis of autologous vein bypass graft
41403,Coronary atherosclerosis of nonautologous biological bypass graft
41404,Coronary atherosclerosis of artery bypass graft
41405,Coronary atherosclerosis of unspecified bypass graft
41406,Coronary atherosclerosis of native coronary artery of transplanted heart
41407,Coronary atherosclerosis of bypass graft (artery) (vein) of transplanted heart
41410,Aneurysm of heart (wall)
41411,Aneurysm of coronary vessels
41412,Dissection of coronary artery
41419,Other aneurysm of heart
4142,Chronic total occlusion of coronary artery
4143,Coronary atherosclerosis due to lipid rich plaque
4144,Coronary atherosclerosis due to calcified coronary lesion
4148,Other specified forms of chronic ischemic heart disease
4149,"Chronic ischemic heart disease, unspecified"
I25,Chronic ischemic heart disease
I251,Atherosclerotic heart disease of native coronary artery
I2510,Atherosclerotic heart disease of native coronary artery without angina pectoris
I2511,Atherosclerotic heart disease of native coronary artery with angina pectoris
I25110,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris
I25111,Atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm
I25112,Atherosclerosic heart disease of native coronary artery with refractory angina pectoris
I25118,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris
I25119,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris
I252,Old myocardial infarction
I253,Aneurysm of heart
I254,Coronary artery aneurysm and dissection
I2541,Coronary artery aneurysm
I2542,Coronary artery dissection
I255,Ischemic cardiomyopathy
I256,Silent myocardial ischemia
I257,Atherosclerosis of coronary artery bypass graft(s) and coronary artery of transplanted heart with angina pectoris
I2570,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with angina pectoris"
I25700,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with unstable angina pectoris"
I25701,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with angina pectoris with documented spasm"
I25702,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with refractory angina pectoris"
I25708,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with other forms of angina pectoris"
I25709,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with unspecified angina pectoris"
I2571,Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris
I25710,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris
I25711,Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris with documented spasm
I25712,Atherosclerosis of autologous vein coronary artery bypass graft(s) with refractory angina pectoris
I25718,Atherosclerosis of autologous vein coronary artery bypass graft(s) with other forms of angina pectoris
I25719,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unspecified angina pectoris
I2572,Atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris
I25720,Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris
I25721,Atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris with documented spasm
I25722,Atherosclerosis of autologous artery coronary artery bypass graft(s) with refractory angina pectoris
I25728,Atherosclerosis of autologous artery coronary artery bypass graft(s) with other forms of angina pectoris
I25729,Atherosclerosis of autologous artery coronary artery bypass graft(s) with unspecified angina pectoris
I2573,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with angina pectoris
I25730,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unstable angina pectoris
I25731,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with angina pectoris with documented spasm
I25732,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with refractory angina pectoris
I25738,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with other forms of angina pectoris
I25739,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unspecified angina pectoris
I2575,Atherosclerosis of native coronary artery of transplanted heart with angina pectoris
I25750,Atherosclerosis of native coronary artery of transplanted heart with unstable angina
I25751,Atherosclerosis of native coronary artery of transplanted heart with angina pectoris with documented spasm
I25752,Atherosclerosis of native coronary artery of transplanted heart with refractory angina pectoris
I25758,Atherosclerosis of native coronary artery of transplanted heart with other forms of angina pectoris
I25759,Atherosclerosis of native coronary artery of transplanted heart with unspecified angina pectoris
I2576,Atherosclerosis of bypass graft of coronary artery of transplanted heart with angina pectoris
I25760,Atherosclerosis of bypass graft of coronary artery of transplanted heart with unstable angina
I25761,Atherosclerosis of bypass graft of coronary artery of transplanted heart with angina pectoris with documented spasm
I25762,Atherosclerosis of bypass graft of coronary artery of transplanted heart with refractory angina pectoris
I25768,Atherosclerosis of bypass graft of coronary artery of transplanted heart with other forms of angina pectoris
I25769,Atherosclerosis of bypass graft of coronary artery of transplanted heart with unspecified angina pectoris
I2579,Atherosclerosis of other coronary artery bypass graft(s) with angina pectoris
I25790,Atherosclerosis of other coronary artery bypass graft(s) with unstable angina pectoris
I25791,Atherosclerosis of other coronary artery bypass graft(s) with angina pectoris with documented spasm
I25792,Atherosclerosis of other coronary artery bypass graft(s) with refractory angina pectoris
I25798,Atherosclerosis of other coronary artery bypass graft(s) with other forms of angina pectoris
I25799,Atherosclerosis of other coronary artery bypass graft(s) with unspecified angina pectoris
I258,Other forms of chronic ischemic heart disease
I2581,Atherosclerosis of other coronary vessels without angina pectoris
I25810,Atherosclerosis of coronary artery bypass graft(s) without angina pectoris
I25811,Atherosclerosis of native coronary artery of transplanted heart without angina pectoris
I25812,Atherosclerosis of bypass graft of coronary artery of transplanted heart without angina pectoris
I2582,Chronic total occlusion of coronary artery
I2583,Coronary atherosclerosis due to lipid rich plaque
I2584,Coronary atherosclerosis due to calcified coronary lesion
I2589,Other forms of chronic ischemic heart disease
I259,"Chronic ischemic heart disease, unspecified"
